@relation pan_features_trainset_dec31_withoutid

@attribute TSDiff numeric
@attribute dsr numeric
@attribute ddsr numeric
@attribute rep numeric
@attribute insertedTokens numeric
@attribute deletedTokens numeric
@attribute deleterTokens numeric
@attribute insPageCount numeric
@attribute delPageCount numeric
@attribute insRevisionCount numeric
@attribute delRevisionCount numeric
@attribute userType {0,1,2,3,4,5}
@attribute userPageStatus {-1,1,0}
@attribute comment_feature1 {0,1}
@attribute comment_feature2 {0,1}
@attribute comment_feature3 {0,1}
@attribute comment_feature4 {0,1}
@attribute comment_feature5 {0,1}
@attribute RevOrdinal numeric
@attribute CommentLength numeric
@attribute InsertSize numeric
@attribute DeleteSize numeric
@attribute SizeRatio numeric
@attribute KLDNew2OLD numeric
@attribute HasBecomeBlank {0,1}
@attribute HasInsInternalLink {0,1}
@attribute HasInsExternalLink {0,1}
@attribute Reverted {0,1}
@attribute KLDINSOld numeric
@attribute LongestInsertedWord numeric
@attribute LongestInsertedCharacterSequence numeric
@attribute InsCompressibiity numeric
@attribute InsUpperToLowerRatio numeric
@attribute InsUpperToAllRatio numeric
@attribute InsDigitRatio numeric
@attribute InsNonAlphabeticRatio numeric
@attribute InsCharacterDiversity numeric
@attribute InsAvgTermFrequency numeric
@attribute InsVulgarRatio numeric
@attribute InsBiasRatio numeric
@attribute InsSexRatio numeric
@attribute InsBadRatio numeric
@attribute InsPronounRatio numeric
@attribute InsGoodRatio numeric
@attribute InsAllSpecialRatio numeric
@attribute KLDDELOLD numeric
@attribute DelVulgarRatio numeric
@attribute DelBiasRatio numeric
@attribute DelSexRatio numeric
@attribute DelBadRatio numeric
@attribute DelPronounRatio numeric
@attribute DelGoodRatio numeric
@attribute DelAllSpecialRatio numeric
@attribute LongestCommentCharacterSequence numeric
@attribute CommentUpperToLowerRatio numeric
@attribute CommentUpperToAllRatio numeric
@attribute CommentDigitRatio numeric
@attribute CommentNonAlphabeticRatio numeric
@attribute CommentCharacterDiversity numeric
@attribute CommentVulgarRatio numeric
@attribute CommentBiasRatio numeric
@attribute CommentSexRatio numeric
@attribute CommentBadRatio numeric
@attribute CommentPronounRatio numeric
@attribute CommentGoodRatio numeric
@attribute CommentAllSpecialRatio numeric
@attribute label {0,1}

@data
89,?,?,?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169,1,0,15,0.988101,67.968906,0,1,0,0,2999.607241,0,1,0,1,1,1,0.072748,1,1,0,0,0,0,0,0,0,2915.129841,0,0,0,0,0,0,0,0,2.5,1,0.166667,0.166667,0.166667,0,0,0,0,0,0,0,0
303,?,?,?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,436,3,1,2,0.999971,0.000005,0,0,0,0,49094.16528,3,1,1,0.2,0.4,0.2,0.05993,0.2,1.5,0,0,0,0,0,0,0,49084.82586,0,0,0.333333,0,0,0,0.333333,0,0.222222,0.333333,0.047619,0.047619,0.076923,0,0,0,0,0,0,0,0
89,?,?,?,0,0,21,0,1,0,3,0,0,0,0,0,0,0,3047,2,0,5,0.999403,45.052125,0,0,0,0,16489.90657,0,1,0,1,1,1,0.071806,1,1,0,0,0,0,0,0,0,16452.25592,0,0,0,0,0,0,0,0,0.333333,0.454545,0.090909,0.090909,0.111111,0,0,0,0,0,0,0,0
3,?,?,?,0,0,0,0,0,0,0,0,1,0,0,0,0,1,392,4,1,0,1.00022,0.000005,0,0,0,0,11123.54739,5,1,1,1,0.714286,0.142857,0.098586,0.142857,1.5,0,0,0,0,0,0,0,11123.54739,0,0,0,0,0,0,0,0,0.2,0.310345,0.034483,0.034483,0.047619,0,0,0,0,0,0,0,0
0,?,?,?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234,3,1,0,1.000677,0.000027,0,0,0,0,2653.375439,3,1,1,0.2,0.4,0.2,0.122822,0.2,1.5,0,0,0,0,0,0,0,2653.375439,0,0,0,0,0,0,0,0,0.125,0.294118,0.058824,0.058824,0.090909,0,0,0,0,0,0,0,0
7809,?,?,?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,334,13,0,11,0.996342,46.613875,0,0,0,0,6880.113086,0,1,0,1,1,1,0.053369,1,1,0,0,0,0,0,0,0,6811.892132,0.166667,0,0,0.083333,0,0,0.25,0,0.015385,0.215385,0.015385,0.015385,0.043478,0.125,0,0,0.0625,0,0,0.1875,0
2937,?,?,?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,8,1,1,1,6.393725,0,0,0,0,1504.740616,3,1,1,2,1,0.2,0.2,0.2,1.5,0,0,0,0,0,0,0,1504.740616,0,0,0,0,0,0,0,0,0.051724,0.183333,0.016667,0.016667,0.043478,0,0,0,0,0,0,0,0
35573,?,?,?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,339,2,0,29,0.982063,108.174615,0,1,0,0,3977.730246,0,1,0,1,1,1,0.075268,1,1,0,0,0,0,0,0,0,3814.076311,0,0,0,0,0.033333,0,0.033333,0,0.272727,0.384615,0.076923,0.076923,0.083333,0,0,0,0,0,0,0,0
31,?,?,?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1,0,31,0.928358,108.075572,0,0,0,0,1335.951641,0,1,0,1,1,1,0.097669,1,1,0,0,0,0,0,0,0,1187.580398,0,0,0,0,0,0,0,0,0.25,0.333333,0.111111,0.111111,0.111111,0,0,0,0,0,0,0,0
32423,?,?,?,0,0,25,0,1,0,1,0,0,0,0,0,0,0,108,5,0,25,0.914537,102.055927,0,0,0,0,1184.401731,0,1,0,1,1,1,0.048651,1,1,0,0,0,0,0,0,0,1064.407234,0,0,0,0,0,0,0,0,0.051282,0.175,0.025,0.025,0.058824,0,0,0,0,0,0,0,0
